family,sciname,common,Description from https://biogeodb.stri.si.edu/caribbean/en/pages,Compressed? (from description)
Lutjanidae,Lutjanus apodus,Schoolmaster,"Lutjanus apodus (Walbaum, 1792)

Schoolmaster snapper

Body relatively deep, compressed; front and rear nostrils simple holes; mouth relatively large, top jaw moderately protrusible, slips under cheek bone for most of its length when mouth is closed; one or more rows of pointed conical teeth on jaws, large canines at front, those at top larger; an anchor shaped patch of teeth with a rear extension on center of roof of mouth; sides of roof of mouth with 1 pair of tooth patches; 11-15 lower gill rakers; preopercle serrated, lower margin weakly notched; dorsal continuous, often with slight notch behind spiny part, usually X, 14; anal III, 8, fin tip rounded; pectoral fin longer than distance between tip of snout and rear edge of preopercle; tail edge slightly concave; body, cheek and operculum scaly; snout, below eye and both jaws scale-less; membranes of soft dorsal and anal fins scaly; lateral line scales 40-45; scales above lateral line 5-7; cheek scales 7-8 (6-9) rows.

Upper head and body olive, with a yellow tint, lower parts lighter; a series of 8 pale bars on body, which fade with growth; cheek with a blue line, rarely a row of blue dots; fins bright yellow to pale orange. Juvenile: like adult but also with a dark oblique bar from tip of snout through eye to nape.

Reaches  67.2 cm; 10.8 kg.

Vegetated and sand bottoms, mangroves, reefs.

Depth range: 1-156 m.

New England (rarely) to the S Caribbean.

Note: L. alexandrei is the brazilian sister species of L apodus.   It is not known if  occurs in the SE Caribbean, along with other Brazilian species.  L. alexandrei differs from in having 6 rather than 8 pale bars on the body, and in having bright blue spots on the snout, cheek and lower part of the head (absent in L apodus).  ",compressed
Lutjanidae,Lutjanus buccanella,Blackfin snapper,"Lutjanus buccanella (Cuvier, 1828)

Blackfin snapper

Body relatively deep, compressed; front and rear nostrils simple holes; mouth relatively large, top jaw moderately protrusible, slips under cheek bone for most of its length when mouth is closed; one or more rows of pointed conical teeth on jaws, some as canines; an anchor shaped patch of teeth with a rear extension on center of roof of mouth; sides of roof of mouth with 1 pair of tooth patches; 17-19 lower gill rakers; preopercle serrated, lower margin weakly notched; dorsal continuous, often with slight notch behind spiny part, usually X, 14; anal III, 8 (rarely 9), fin tip rounded; tail edge slightly concave; body, cheek and operculum scaly; snout, below eye and both jaws scale-less;  lateral line scales 47-50; membranes of soft dorsal and anal fins scaly.

Upper head and body scarlet to orange; iris yellow to orange; a large pronounced dark spot on inner and outer base of pectoral; a dark area on scales at base of soft dorsal fin; upper tail base, most of soft dorsal, most of anal and all of tail fin yellow to greenish yellow. Juvenile: grey brown, with yellow tail base and tail fin; pectoral with black base.

Reaches 75 cm; 14 kg.

Sandy and rocky bottoms and near dropoffs.

Depth range: 15-273 m; juveniles usually 35-50 m, adults below 60 m.

N Carolina to NE Brazil.",compressed
Lutjanidae,Lutjanus griseus,Gray snapper,"Lutjanus griseus (Linnaeus, 1758)

Grey snapper

Body relatively slender (depth 32-37% SL), compressed, head relatively pointed; front and rear nostrils simple holes; mouth relatively large, top jaw moderately protrusible, slips under cheek bone for most of its length when mouth is closed; one or more rows of pointed conical teeth on jaws, strong canines at front of top jaws; an anchor shaped patch of teeth with a rear extension on center of roof of mouth; sides of roof of mouth with 1 pair of tooth patches; 12-14 lower gill rakers; preopercle serrated, lower margin weakly notched; dorsal continuous, often with slight notch behind spiny part, usually X, 14; anal III, 8 (7-8), fin tip rounded; pectoral fin short, length ~same as distance from snout tip to rear edge of preopercle; tail edge slightly concave; body, cheek and operculum scaly; snout, below eye and both jaws scale-less;  lateral line scales 43-47; membranes of soft dorsal and anal fins scaly.

Variable: back and upper sides grey-green to dark olive, with a reddish tinge; lower parts paler; often a broad oblique dark bar from tip of snout through eye to origin of dorsal fin; sometimes with pale bars on upper body. Juvenile: more prominently barred than adult, often with a blue line on cheek; outer edge of dorsal fin blackish.

Reaches ~66 cm. (Larger records likely are L. cyanopterus).

Mangroves, sloughs, estuaries, reefs,  lower reaches of rivers, occasionally in fresh water.

Depth: 1-180 m.

Both sides of the Atlantic; Massachusetts south throughout the Caribbean. Records of this species in Brazil refer to L. alexandrei.",compressed
Lutjanidae,Lutjanus jocu,Dog snapper,"Lutjanus jocu (Bloch & Schneider, 1801)

Dog snapper

Body relatively deep, compressed; front and rear nostrils simple holes; mouth relatively large, top jaw moderately protrusible, slips under cheek bone for most of its length when mouth is closed; one or more rows of pointed conical teeth on jaws, strong canines at front of top jaws; an anchor shaped patch of teeth with a rear extension on center of roof of mouth; sides of roof of mouth with 1 pair of tooth patches; 12-14 lower gill rakers; preopercle serrated, lower margin weakly notched; dorsal continuous, often with slight notch behind spiny part, usually X, 14 (rarely 13); anal III, 8, fin tip rounded; pectoral fin long, length >distance from snout tip to rear edge of preopercle; tail edge slightly concave; body, cheek and operculum scaly; snout, below eye and both jaws scale-less; lateral line scales 46-49; scales above lateral line 8-11; membranes of soft dorsal and anal fins scaly.

Back and upper sides olive, with a bronze tint, sometimes with pale bars; reddish to coppery below; a pale triangle under eye; a blue line or series of blue spots below eye and across opercle. Juvenile: more strongly colored than adult, with a dark oblique stripe from snout through eye to top corner of operculum.

Reaches 128 cm; 28.6 kg.

Adults on reefs; juveniles in estuaries and rivers – occasionally in fresh water.

Depth range: 5-181 m.

New England to SE Brazil.",compressed
Lutjanidae,Lutjanus mahogoni,Mahogany snapper,"Lutjanus mahogoni (Cuvier, 1828)

Mahogany snapper

Body oblong, compressed; eye large; front and rear nostrils simple holes; mouth relatively large, top jaw moderately protrusible, slips under cheek bone for most of its length when mouth is closed; one or more rows of pointed conical teeth on jaws, canines on top jaw much larger than those on bottom jaw; an anchor shaped patch of teeth with a short rear extension on center of roof of mouth; sides of roof of mouth with 1 pair of tooth patches; 7-8 + 15-17 gill rakers; preopercle serrated, with a prominent well serrated lower projection; dorsal continuous, often with slight notch behind spiny part,  usually X, 12 (rarely 11); anal III, 8, fin tip rounded; ends of dorsal and anal fin short and blunt; tail edge slightly forked; body, cheek and operculum scaly; snout, below eye and both jaws scale-less; lateral line scales 47-49; membranes of soft dorsal and anal fins scaly.

Back and upper sides olive to grey, with a bronze tint, sometimes with pale bars; reddish to coppery below; a dark spot on lateral line under last dorsal spines, 1/4-1/2 of spot is below lateral line. Juvenile: more strongly colored than adult; with a dark oblique stripe from snout through eye to top corner of operculum.

Reaches 48 cm; 1.3 kg.

A clearwater species; around reefs, also on sand and grass bottoms; juveniles in shallow water.

Depth range: 0-209 m.

N Carolina to the S Caribbean.",compressed
Lutjanidae,Lutjanus synagris,Lane snapper,"Lutjanus synagris (Linnaeus, 1758)

Lane snapper

Body oblong, compressed; front and rear nostrils simple holes; mouth relatively large, top jaw moderately protrusible, slips under cheek bone for most of its length when mouth is closed; one or more rows of pointed conical teeth on jaws, some forming canines; an anchor shaped patch of teeth with a  short rear extension on center of roof of mouth; sides of roof of mouth with 1 pair of tooth patches; 6-7+12-15 gill rakers; preopercle serrated, without a prominent well serrated lower projection; dorsal continuous, often with slight notch behind spiny part, X, 12 (rarely 13); anal III, 8 (sometimes 9), tip of fin rounded; tail edge slightly concave; body, cheek and operculum scaly; snout, below eye and both jaws scale-less; lateral line scales 47-50; membranes of soft dorsal and anal fins scaly.

Silvery pink to red; 6-8 narrow yellow stripes along rear of head and body; oblique yellow stripes on body above the top yellow stripe; a black blotch mainly (>3/4) above lateral line under front of soft dorsal; iris red; fins yellowish to reddish; tail fin with dark rear border. Juveniles: in smallest fish black spot bounded before and behind by white; yellow stripes absent or faint; pelvics and anal yellow; outer edge of dorsal red.

Reaches 71 cm; 3.7 kg.

Around reefs and on grass bottoms; juveniles in shallow water.

Depth range: 1-400 m.

N Carolina to SE Brazil.",compressed
Lutjanidae,Ocyurus chrysurus,Yellowtail snapper,"Ocyurus chrysurus (Bloch, 1791)

Yellowtail snapper

Body elongate, head pointed, upper and lower profiles similar; front and rear nostrils simple holes; mouth relatively large, top jaw moderately protrusible, slips under cheek bone for most of its length when mouth is closed; one or more rows of pointed conical teeth on jaws,with a few large canines at front;  patch of teeth on center of roof of mouth anchor shaped, with a narrow rear extension; each side of roof of mouth with 2 tooth patches; 21-23 lower gill rakers; preopercle serrated, lower margin notched; dorsal continuous, with almost no notch behind spiny part, usually X (rarely IX or XI), 12-13 (rarely14), last ray not elongated; anal fin III, 9 (rarely 8); tail fin deeply forked, with long lobes in large fish; body, cheek and operculum scaly; snout, below eye and both jaws scale-less; bases of soft dorsal and anal fins scaly.

A bright yellow stripe from tip of snout, through eye, back along midline, expanding at rear to cover all of tail base and all of tail fin; color above stripe red, olive or blue; color below stripe pink to white; dorsal, anal and pelvics mainly yellow or yellow green.

Reaches 86.3 cm; 4.1 kg.

Adults on reefs; juveniles over seagrass and weed beds.

Depth range: 0-180 m.

Massachusetts to SE Brazil.",
Lutjanidae,Rhomboplites aurorubens,Vermilion snapper,"Rhomboplites aurorubens (Cuvier, 1829)

Vermilion snapper

Body an elongate oval; front and rear nostrils simple holes; mouth relatively large, top jaw moderately protrusible, slips under cheek bone for most of its length when mouth is closed; jaws with distinct canines; a rhomboid-shaped patch of teeth on center of roof of mouth, its rear extension narrow in small fish, broad in large fish; each side of roof of mouth with 2 patches of teeth; 17-22 lower gill rakers; preopercle serrated, lower margin notched; dorsal continuous, often with slight notch behind spiny part, XII (rarely XIII), 11 (rarely 10 or 12), last ray not elongated; tail deeply forked, with pointed tips; last ray of dorsal and anal fins not elongate; body, cheek and operculum scaly; snout, below eye and both jaws  scale-less; membranes of soft dorsal and anal fins scaly.

Vermilion, darker above, paler below; iris red; faint brown lines obliquely forward and down from dorsal fin; sides below lateral line with narrow horizontal and oblique streaks of gold; dorsal fin with blotches of vermilion; tail fin vermilion; anal and pectoral fins pale rose; pelvics pale.

Reaches 63 cm.

On hard bottoms, and sand.

Depth range: 25-300 m.

North Carolina to Brazil.",
Monacanthidae,Aluterus monoceros,Unicorn filefish,"Aluterus monoceros (Linnaeus, 1758)

Unicorn filefish

Body a very compressed elongated oval; a long pointed snout, snout profiles of adult - upper convex, lower concave; a small mouth that opens above center line; teeth moderately strong, six in outer row on top jaw and six or less on outer row on bottom jaw; gill opening a short slit on side before pectoral base; 2 dorsal fins, 1st with II spines, 1st long, slender, smooth, over eye, erectile, can be locked in position by minute 2nd spine; second dorsal fin 46-50 rays; anal rays 47-52; pectoral rays modally 14; median fins rays unbranched; tail base longer than deep (depth 65-95% of its length); tail fin usually shorter than snout,  18-26% of SL, with straight to slightly concave edge; pelvic fins absent, no scales encasing area where pelvics should be; scales minute, innumerable, like fine hairs, give skin a rough texture, like sandpaper;  no patch of enlarged scales above pectoral base; lateral line inconspicuous.

Pale grey to grey-brown; brown spots and blotches on upper side; dorsal and anal pale yellowish brown; tail membranes dark brown; juveniles & sometimes young adults with network of pale lines enclosing darker spots and blotches.

Size: 76 cm.

Habitat: rocky and soft bottom habitats.

Depth: 0-150 m.

Circumtropical; Massachusetts to Brazil.",very compressed elongated oval
Monacanthidae,Aluterus scriptus,Scrawled filefish,"Aluterus scriptus (Osbeck, 1765)

Scrawled filefish, Scrawled leatherjacket

Body a very compressed elongated oval a long pointed snout, upper and lower profiles strongly concave; a small mouth that opens above center line; teeth moderately strong, six in outer row on top jaw and six or less on outer row on bottom jaw; gill opening a short slit on side before pectoral base; 2 dorsal fins, 1st with II spines, 1st long, slender, smooth, over eye, erectile, can be locked in position by minute 2nd spine; second dorsal fin  43-49 rays; anal rays 46-52; pectoral rays modally 14 (13-15); median fins rays unbranched; tail base shorter than deep; tail fin longer than snout, 33-61% of SL, rounded, the back edge often ragged; pelvic fins absent, pelvic spine rudimentary or absent; no group of enlarged scales encasing area where pelvics should be;scales minute, innumerable, like hairs, skin rough, like sand-paper; no patch of enlarged scales above pectoral base; lateral line inconspicuous.

Olive brown to grey with irregular blue spots and short lines and small black spots; pelagic juveniles may be brown with dark spots.

Size: grows to 110 cm.

Inhabits coral and rocky reefs, the young are sometimes seen around floating debris, at a considerable distance away from land; feeds on algae, hydrozoans, gorgonians, anemones, and tunicates.

Depth: 0-120 m, usually < 30 m.

Circumtropical distribution; Massachusetts to Brazil.",very compressed elongated oval
Monacanthidae,Cantherhines macrocerus,Whitespotted filefish,"Cantherhines macrocerus (Hollard, 1853)

Whitespotted filefish

Body oblong, deep, compressed; a long pointed snout; a small mouth that opens at front; teeth moderately strong, six in outer row on top jaw and six or less on outer row on bottom jaw; gill opening a short slit on side before pectoral base; 2 dorsal fins, 1st with II spines, 1st spine over front ½ of eye,  robust, relatively straight, with barbed rear side, can be locked in position by small 2nd spine, folds down into deep groove on top of back; 2nd dorsal fin 34-36; anal fin 29-32; pectoral rays usually 14; median fins rays unbranched; two pairs of strong spines on tail base; tail fin edge straight to rounded; pelvic fins present as a spine protruding from a patch of large scales, that patch fixed, not moveable vertically; lower belly flap large; scales minute, innumerable, skin rough; no patch of enlarged scales above pectoral base; lateral line inconspicuous.

Color variable: brown or irregular mixtures of brown and orange; often pale spots over much of body and head, and a pair at the top and bottom of the end of the tail base; spines on tail base yellow. Juvenile black with many whitish spots

Size: reaches 40 cm.

Inhabits coral and rocky reefs.

Depth: 3-93 m.

Bermuda to Brazil.",compressed
Mullidae,Mulloidichthys martinicus,Yellow goatfish,"Mulloidichthys martinicus (Cuvier, 1829)

Yellow goatfish

Body elongate, cylindrical, underside of head and body nearly flat; snout blunt; eye high on side of head; mouth small, at lower edge of head, protrusible, top jaw not reaching to under front of eye; relatively small villiform or conical teeth; no teeth on roof of mouth; chin with a pair of large, long barbells that fold into a central groove on throat; opercle with a short spine; 2 well-separated dorsal fins, VIII (first spine very short), + I, 8; pectoral rays 15-17; a forked tail; scales large, slightly rough, 34-39 on lateral line; 6 rows of scales between the dorsal fins.

Light olive above, whitish below; a single yellow stripe (generally with blue border) from eye to base of bright yellow tail fin; dorsal and anal fins yellowish.

Size: 40 cm.

Habitat: Adults around shallow coral reefs, young frequent seagrass beds.

Depth: 1-135 m

North Carolina to Brazil; the central Atlantic islands, Cape Verde.",
Muraenidae,Gymnothorax funebris,Green moray,"Gymnothorax funebris Ranzani, 1839

Green moray

Body elongate, compressed at rear; tail tapering; head and trunk shorter than to slightly >1/2 TL; snout elongate and pointed, narrowing sharply from a bulbous nape; eye slightly before middle of mouth; front nostril a simple tube; rear nostril a hole at level of profile of head, a teardrop with a raised rim in large fish; lower jaw straight, mouth closes completely; teeth strong, smooth, long canines at front of jaws; 2 rows of 5-6 depressible teeth at front of top jaws, with a  row of 3 large fangs, the last the largest, in between; top jaw with teeth in 1 row of 10-18 triangular teeth, plus an inner row at front of 1-3 long slender teeth; roof of mouth with 2 rows of small teeth, well behind the central fangs; lower jaw with 1-4 long, slender teeth at front, and 11-20 triangular teeth behind; gill opening round to a slit; dorsal and anal fins covered with skin, but evident; dorsal origin on head, before gill opening.

Uniform dark green to brown; dorsal and anal fins dusky to pale; head pores, gill opening and anus may be darker than rest of fish.

Reaches 189 cm.

Mainly on reefs, occasionally in mangroves and brackish conditions.

Depth range: 0-81 m.

Bermuda to Brazil; also in the E Atlantic.",compressed at rear
Ostraciidae,Acanthostracion polygonius,Honeycomb cowfish,"Acanthostracion polygonius Poey, 1876

Honeycomb cowfish

Body oblong, thick, enclosed in a bony box formed by thickened, joined, enlarged scale plates that are usually hexagonal in shape; carapace has openings for mouth, eyes, gill slits and fins and tail, completely surrounds bases of dorsal and anal fins, has large spines projecting forward above eyes,  and at lower rear corner; rear plates above and below tail base expanded as short spines; mouth small, at front, lips fleshy; teeth moderate, conical, usually <15 per jaw; gill openings short, oblique slits in front of pectoral bases; no spiny dorsal, soft dorsal and anal fins at rear of carapace; pectoral rays 12, rarely 11; no pelvic fins;  tail base slender, flexible, tail fin a fan with a rounded end; dorsal, anal and pectoral fin rays branched; lateral line inconspicuous.

Olivaceus; a network of dark hexagons formed by carapace scales outlined in pale lines; a network of dark lines on cheek; juvenile yellow to orange, with black spots.

Reaches 50 cm.

Lives mainly on coral reefs & soft coral habitats; also in estuaries.

Depth range: 2-80 m.

New Jersey to Brazil.",thick
Ostraciidae,Lactophrys bicaudalis,Spotted trunkfish,"Lactophrys bicaudalis (Linnaeus, 1758)

Spotted trunkfish

Body oblong, thick, enclosed in a bony box formed by thickened, joined, enlarged scale plates that are usually hexagonal in shape; carapace has openings for mouth, eyes, gill slits and fins and tail, completely surrounds bases of both anal and dorsal fins, without spines before eyes, with a pair of spines at lower rear corner, last plates above and below tail base not prolonged as spines; mouth small, at front, lips fleshy; teeth moderate, conical, usually <15 per jaw; gill openings short, oblique slits in front of pectoral bases; no spiny dorsal, soft dorsal and anal fins at rear of carapace; no pelvic fins;  tail base slender, flexible, tail fin a fan with a rounded end; dorsal, anal and pectoral fin rays branched; lateral line inconspicuous.

Pale grey to whitish; numerous dark brown to blackish spots, multiple spots per carapace plate; lips whitish; large fish with 2 prominent white spots behind eye. Juvenile: orange-white, with sparse round black spots.

Reaches 48 cm.

Found around clearwater reefs, and in seagrass beds.

Depth range: 2-95 m.

Georgia to Brazil; Ascension Is in the S Atlantic.",thick
Ostraciidae,Lactophrys triqueter,Smooth trunkfish,"Lactophrys triqueter (Linnaeus, 1758)

Smooth trunkfish

Body oblong, with an obvious hump on back, thick, enclosed in a bony box or carapace formed by thickened, joined, enlarged scale plates that are usually hexagonal in shape; carapace has openings for mouth, eyes, gill slits and fins and tail, completely surrounds bases of both anal and dorsal fins, without spines before eyes, without a pair of spines at lower rear corner, last plates above and below tail base not prolonged as spines; mouth small, at front, lips fleshy; teeth moderate, conical, usually <15 per jaw; gill openings short, oblique slits in front of pectoral bases; no spiny dorsal, soft dorsal and anal fins at rear of carapace; no pelvic fins; tail base slender, flexible, tail fin a fan with a rounded end; dorsal, anal and pectoral fin rays branched; lateral line inconspicuous.

Blackish brown; numerous white, cream or yellow spots; an area on flank with a pale honey-comb pattern; lips and fin bases blackish. Juvenile: black, with white spots.

Reaches 30 cm.

Lives on  reefs.

Depth range 2-79 m.

Massachusetts to Brazil.",thick
Pomacanthidae,Holacanthus ciliaris,Queen angelfish,"Holacanthus ciliaris (Linnaeus, 1758)

Queen angelfish

Body a deep oval, strongly compressed; snout short, blunt; mouth small, with brush-like teeth; preopercle with large spine at its angle, with vertical margin serrated; bone between preopercle and operculum with 1-4 large spines; bone under eye without large, rear-pointing spines; dorsal fin un-notched, XIV, 19-21; anal rays III, 20-21; dorsal and anal fins end in filaments; tail straight; large, regularly arranged, very rough scales with distinct ridges on the exposed part, scales extend out onto the median fins; 45-50 lateral line scales; without ""axillary process"" (an enlarged scale) at the base of the pelvic fins; lateral line ends under end of soft dorsal fin.

Blueish, with yellowish edges to scales; head yellowish, blue around mouth and below; a large black blotch circled and spotted with blue on nape; upper edge of opercle blue; pectorals yellow, with blue & black base; tail and pelvics yellow. Juvenile: darker than adult; body with 3 long blue-white bars, middle bar curved; shorter less distinct bars between those; black, blue-edged bar through eye.

Maximum size about 45 cm.

Habitat: coral reefs.

Depth: 1-125 m.

North Carolina to Brazil.",strongly compressed
Pomacanthidae,Holacanthus tricolor,Rock beauty,"Holacanthus tricolor (Bloch, 1795)

Rock beauty

Body deep, oval, strongly compressed; snout short, blunt; mouth small, with brush-like teeth; preopercle with a large spine at its angle, with vertical margin serrated; bone between preopercle and operculum with 1-4 large spines; bone under eye without large, rear-pointing spines; dorsal fin un-notched, XIV, 17-19; anal rays III, 18-20; dorsal but not anal fin ends in a filament; tail straight; large, regularly arranged, very rough scales with distinct ridges on the exposed part, scales extend out onto the median fins; 43-46 lateral line scales; without ""axillary process"" (an enlarged scale) at the base of the pelvic fins; lateral line ends under end of soft dorsal fin.

Rear 3/4 of body, and inner ¾ of dorsal and anal fins black; head, front 1/4 of body and outer edges of dorsal and anal fins as well as all of pectorals, pelvics and tail fin yellow; mouth purplish. Juvenile: yellow, a black, blue-ringed ocellus on upper rear of body.

Maximum size about 25 cm.

Habitat: coral and rocky reefs.

Depth: 1-143 m.

Georgia to Brazil.",strongly compressed
Pomacanthidae,Pomacanthus arcuatus,Gray angelfish,"Pomacanthus arcuatus (Linnaeus, 1758)

Grey angelfish

Deep, almost circular, compressed body; head deep, snout short; mouth small, with brush-like teeth; preopercle with a large spine at its angle, with vertical margin smooth; bone between preopercle and operculum without spines; bone under eye without large, rear-pointing spines; dorsal fin un-notched, IX, 31-33; anal rays III, 23-25; front soft rays of dorsal and anal fin with filaments; tail fin W-shaped in adult; body with large and small scales, irregularly arranged, very rough, with distinct ridges on the exposed part, >70 lateral scales; scales extend out onto the median fins; without ""axillary process"" (an enlarged scale) at the base of the pelvic fins; lateral line complete.

Adult: greyish; large body scales with dark centers and pale edges; pectoral with outer base grey, inside base yellow; tail with pale rear margin. Juvenile: black, with 3 yellow bars on head and body, base of tail fin yellow, center black, rear of fin transparent; center of forehead with a yellow line forms an inverted cross, continuing down across mouth to chin, with side branches down rear sides of mouth.

Size: to 60 cm.

Habitat: on reefs and rocky areas; juveniles common in seagrass beds.

Depth: 1-101 m.

New York to Brazil.",compressed
Pomacanthidae,Pomacanthus paru,French angelfish,"Pomacanthus paru (Bloch, 1787)

French angelfish

Deep, almost circular, compressed body; head deep, snout short; mouth small, with brush-like teeth; preopercle with a large spine at its angle, with vertical margin smooth; bone between preopercle and operculum without spines; bone under eye without large, rear-pointing spines; dorsal fin un-notched, X, 29-31; anal rays III, 22-24; front soft rays of dorsal and anal fin with filaments; tail fin bluntly rounded in adult; body with large and small scales, irregularly arranged, very rough, with distinct ridges on the exposed part; >70 lateral scales; scales extend out onto the median fins; without ""axillary process"" (an enlarged scale) at the base of the pelvic fins; lateral line complete.

Adult: dark grey, with bright yellow rims to scales; fins black, base of pectoral yellow. Juvenile: black, with 3 yellow bars; tail black, entirely edged with yellow; center of forehead with a yellow line forms an inverted Y branching down sides of mouth.

Size: to 40 cm.

Habitat: reefs; juveniles common in seagrass beds.

Depth: 1-157 m.

New York to Brazil.",compressed
Scaridae,Scarus taeniopterus,Princess parrotfish,"Scarus taeniopterus Desmarest, 1831

Princess parrotfish

Body elongate, somewhat compressed; teeth fused into a beak with two broad joined plates on each jaw, outer surface of plates smooth, not covered by lips; top jaw overlaps lower jaw at front; 1-2 canines on rear side of top jaw; large crushing plates of molar teeth form “pharyngeal mill” in throat; gill rakers 40-52; dorsal fin IX, 10, no notch between spines and rays; anal fin III, 9; pectoral II, 11-12 (1st spine very short); tail fin bluntly rounded; scales large, smooth, 3 rows on cheek, 5-7 scales in top row, lowest row of 2 scales; 7-8 scales on center of nape before dorsal fin;  lateral line in 2 sections.

Juvenile: pale + 3 dark brown stripes, top and bottom edges of tail fin dark. Initial phase: upper body and tail base brown, with 3 white stripes, along top midline and above and below eye; lower part pale grey to whitish; snout not yellowish; tail with upper and lower edges dark brown. Terminal phase: body bluey; body scales with pink bars, a short yellow stripe along side of body above pectoral fin; head blue grey above, blue below; a green stripe from snout, through lower edge of eye to rear corner of operculum; another through top edge of eye back along operculum; dorsal and anal fins with green bases, pink centers and blue outer edges; tail fin blue, with pink top and bottom edges.

Reaches 30 cm.

On reefs.

Depth range: 1-107 m.

Bermuda to the S Caribbean.",somewhat compressed
Scaridae,Scarus vetula,Queen parrotfish,"Scarus vetula Bloch & Schneider, 1801

Queen parrotfish

Body elongate, somewhat compressed; teeth fused into a beak with two broad joined plates on each jaw, outer surface of plates smooth, not covered by lips; top jaw overlaps lower jaw at front; 1-2 canines on rear side of top jaw; large crushing plates of molar teeth form “pharyngeal mill” in throat; gill rakers 50-60; dorsal fin IX, 10, no notch between spines and rays; anal fin III, 9; pectoral II, 12 (1st spine very short); tail fin bluntly rounded; scales large, smooth, 4 rows on cheek; 7 scales on center of nape before dorsal fin; lateral line in 2 sections.

Juvenile: white + black stripes. Initial phase: body dark brown, a broad white stripe from top of pectoral base to lower end of tail base; head grey above, whitish below; dorsal and tail fins dark brown; anal fin white. Terminal phase: head and body bluish to bluish green; a blue-green stripe from chin to under eye, a blue bar across front of snout, a blue strap under chin; a short blue stripe through top of eye; a broad diagonal blue stripe from the side of the nape up to under the middle of the dorsal fin; body scales with pink bars; pectoral translucent blue, with a central pink stripe; tail fin with a pink base and pink lobes, rear of fin blue green, top and bottom edges blue.

Reaches 50 cm.

On reefs.

Depth range: 1-71 m.

Bermuda to the S Caribbean.",somewhat compressed
Scaridae,Sparisoma viride,Stoplight parrotfish,"Sparisoma viride (Bonnaterre, 1788)

Stoplight parrotfish

Body elongate, moderately deep, somewhat compressed; head relatively pointed; convex between eyes; flap at front nostril taller than wide, 4-7 cirri in adult; teeth fused into a beak with broad plates, outer surface of plates rough with individual teeth visible, partly  covered by lips; front edge of top jaw inside front edge of lower jaw when mouth is closed; 1-2 canines on rear side of top jaw; large crushing plates of molar teeth form “pharyngeal mill” in throat; gill rakers 17-21; dorsal fin IX, 10,  spine membranes with 1 cirrus; no notch between spines and rays; anal fin III, 9; tail fin straight in juvenile, concave in adult, more so in TP; scales large, smooth, 1 row on cheek, 4 scales on center of nape before dorsal fin; lateral line in 2 sections.

Juvenile: brown above, reddish below; 3 rows of white spots along side from operculum to tail base; a dark blotch just behind upper operculum; tail fin dark with white bar near base. Initial phase: brown above, fading to red below, pale areas on head, centers of many upper body scales pale; fins except tail red-brown; tail fin with brown base, a whitish center and a broad red crescent at rear. Terminal phase: head and body green; edge of operculum pink, with a yellow spot at the top; a purplish stripe from mouth along cheek; top of snout and front of nape purplish; dorsal, anal and pelvic fins pink, with blue edges; tail fin green, a yellow blotch at base and a yellow crescent in  from rear edge, rear edge blue-green.

Reaches 64 cm; up to at least 9 years.

On reefs, juveniles also in adjacent seagrass beds.

Depth range: 0-64 m.

Bermuda to the S Caribbean. Its brazilian sister species is S. amplum.",somewhat compressed
Sciaenidae,Equetus punctatus,Spotted drum,"Equetus punctatus (Bloch & Schneider, 1801)

Spotted drum

Body oblong, deep at front, tapering to a thin tail base; head low; snout overhangs horizontal mouth; teeth in villiform band, those in outer row of upper jaw slightly enlarged; chin with 5 pores, no barbels; snout with 10 pores; 15-18 short, stout gill rakers; preoperculum nearly smooth edged; top corner of gill opening notched; dorsal fin with long base, deep notch between spiny and soft parts, XII-XIV + I, 45-47, spiny part very high (longer than head); anal fin with short base, II, (2nd strong), 6; pectoral rays 17-18; tail fin with blunt angular point; lower half of second dorsal fin covered with a thick scale sheath; the lateral line extends to the center of the end of the tail fin.

Body white, with 3 broad, black oblique bars, 1 through eye, 1 from nape to pelvic fin and 1 from the 1st dorsal that angles back to form a stripe that runs to base of tail fin; upper back with 2 black stripes; 2nd dorsal fin and tail fin black with white spots. Small juveniles body white + 3 black bars, last bar through dorsal to tail fin; oval black spot on snout; pectoral fin with black stripe.

Maximum size to 25 cm.

Inhabits coastal reefs.

Depth: 4-105 m.

The Gulf of Mexico to Brazil.",
